playerID,awardID,yearID,lgID
aaronha01,Gold Glove,1958,NL
aaronha01,Gold Glove,1959,NL
aaronha01,Gold Glove,1960,NL
aaronha01,Lou Gehrig Memorial Award,1970,ML
aaronha01,Most Valuable Player,1957,NL
aaronha01,Player of the Week,1973,NL
aaronha01,Player of the Week,1973,NL
aaronha01,Player of the Week,1973,NL
aaronha01,Player of the Week,1974,NL
aaronha01,TSN All-Star,1956,ML
aaronha01,TSN All-Star,1958,ML
aaronha01,TSN All-Star,1959,ML
aaronha01,TSN All-Star,1963,NL
aaronha01,TSN All-Star,1965,NL
aaronha01,TSN All-Star,1967,NL
aaronha01,TSN All-Star,1969,NL
aaronha01,TSN All-Star,1970,NL
aaronha01,TSN All-Star,1971,NL
aaronha01,TSN Player of the Year,1956,NL
aaronha01,TSN Player of the Year,1963,NL
aasedo01,Pitcher of the Month,1986,AL
aasedo01,Player of the Week,1977,AL
abbotji01,Hutch Award,1995,ML
abbotji01,Player of the Week,1993,AL
abbotji01,TSN All-Star,1991,AL
abernte02,TSN Fireman of the Year,1965,NL
abernte02,TSN Fireman of the Year,1967,NL
abramcj01,Player of the Week,2023,NL
abreubo01,Gold Glove,2005,NL
abreubo01,Player of the Month,2005,NL
abreubo01,Player of the Month,2009,AL
abreubo01,Player of the Week,2001,NL
abreubo01,Player of the Week,2004,NL
abreubo01,Player of the Week,2005,NL
abreubo01,Player of the Week,2010,AL
abreubo01,Silver Slugger,2004,NL
abreujo02,All-MLB Team - Second Team,2020,ML
abreujo02,Hank Aaron Award,2020,AL
abreujo02,MLB Players Choice Outstanding Player,2020,AL
abreujo02,MLB Players Choice Outstanding Rookie,2014,AL
abreujo02,Most Valuable Player,2020,AL
abreujo02,Player of the Month,2014,AL
abreujo02,Player of the Month,2014,AL
abreujo02,Player of the Month,2020,AL
abreujo02,Player of the Month,2021,AL
abreujo02,Player of the Week,2014,AL
abreujo02,Player of the Week,2015,AL
abreujo02,Player of the Week,2015,AL
abreujo02,Player of the Week,2017,AL
abreujo02,Player of the Week,2020,AL
abreujo02,Player of the Week,2021,AL
abreujo02,Rookie of the Month,2014,AL
abreujo02,Rookie of the Month,2014,AL
abreujo02,Rookie of the Month,2014,AL
abreujo02,Rookie of the Year,2014,AL
abreujo02,Silver Slugger,2014,AL
abreujo02,Silver Slugger,2018,AL
abreujo02,Silver Slugger,2020,AL
abreujo02,This Year in Baseball Rookie of the Year,2014,ML
abreujo02,TSN All-Star,2020,AL
abreujo02,TSN All-Star,2022,AL
abreujo02,TSN Major League Player of the Year,2020,ML
abreujo02,TSN Rookie of the Year,2014,AL
abreuwi02,Gold Glove,2024,AL
abreuwi02,Gold Glove,2025,AL
acunaro01,All-MLB Team - First Team,2023,ML
acunaro01,All-MLB Team - Second Team,2019,ML
acunaro01,All-MLB Team - Second Team,2020,ML
acunaro01,Comeback Player of the Year,2025,NL
acunaro01,Hank Aaron Award,2023,NL
acunaro01,MLB Players Choice Comeback Player,2022,NL
acunaro01,MLB Players Choice Outstanding Player,2023,NL
acunaro01,MLB Players Choice Outstanding Rookie,2018,NL
acunaro01,MLB Players Choice Player of the Year,2023,ML
acunaro01,Most Valuable Player,2023,NL
acunaro01,Player of the Month,2021,NL
acunaro01,Player of the Month,2023,NL
acunaro01,Player of the Month,2023,NL
acunaro01,Player of the Month,2023,NL
acunaro01,Player of the Week,2018,NL
acunaro01,Player of the Week,2019,NL
acunaro01,Player of the Week,2021,NL
acunaro01,Player of the Week,2023,NL
acunaro01,Player of the Week,2025,NL
acunaro01,Rookie of the Month,2018,NL
acunaro01,Rookie of the Year,2018,NL
acunaro01,Silver Slugger,2019,NL
acunaro01,Silver Slugger,2020,NL
acunaro01,Silver Slugger,2023,NL
acunaro01,TSN All-Star,2018,NL
acunaro01,TSN All-Star,2019,NL
acunaro01,TSN All-Star,2020,NL
acunaro01,TSN All-Star,2023,NL
acunaro01,TSN Major League Player of the Year,2023,ML
acunaro01,TSN Rookie of the Year,2018,NL
adamewi01,Player of the Week,2021,NL
adamewi01,Player of the Week,2022,NL
adamewi01,Player of the Week,2024,NL
adamsba01,Baseball Magazine All-Star,1909,ML
adamsba01,Baseball Magazine All-Star,1909,NL
adelljo01,Player of the Week,2025,AL
affelje01,This Year in Baseball Setup Man of the Year,2009,ML
ageeto01,Gold Glove,1966,AL
ageeto01,Gold Glove,1970,NL
ageeto01,Rookie of the Year,1966,AL
ageeto01,TSN Comeback Player of the Year,1969,NL
ageeto01,TSN Rookie Player of the Year,1966,AL
aguilri01,Pitcher of the Month,1993,AL
ahmedni01,Gold Glove,2018,NL
ahmedni01,Gold Glove,2019,NL
ahmedni01,Player of the Month,2019,NL
ainsmed01,Baseball Magazine All-Star,1912,AL
akerja01,TSN Fireman of the Year,1966,AL
albieoz01,All-MLB Team - Second Team,2021,ML
albieoz01,All-MLB Team - Second Team,2023,ML
albieoz01,Player of the Week,2021,NL
albieoz01,Silver Slugger,2019,NL
albieoz01,Silver Slugger,2021,NL
