franchID,kind,label,firstYear,lastYear,teamID,lgID
ACG,name,Akron Grays / Cleveland Giants,1933,1933,ACG,NN2
ACG,location,Akron,1933,1933,,
AB,name,Algona Brownies,1903,1903,AB,WES
AB,location,Algona,1903,1903,,
AC1,name,All Cubans,1905,1905,AC1,EAS
AC2,name,All Cubans,1911,1911,AC2,WES
ALT,name,Altoona Mountain City,1884,1884,ALT,UA
ALT,location,Altoona,1884,1884,,
ARI,name,Arizona Diamondbacks,1998,2025,ARI,NL
ARI,location,Arizona,1998,2025,,
OAK,name,Philadelphia Athletics,1901,1954,PHA,AL
OAK,name,Kansas City Athletics,1955,1967,KC1,AL
OAK,name,Oakland Athletics,1968,2024,OAK,AL
OAK,name,Athletics,2025,2025,ATH,AL
OAK,location,Philadelphia,1901,1954,,
OAK,location,Kansas City,1955,1967,,
OAK,location,Oakland,1968,2025,,
ATL,name,Boston Red Caps,1876,1882,BSN,NL
ATL,name,Boston Beaneaters,1883,1906,BSN,NL
ATL,name,Boston Doves,1907,1910,BSN,NL
ATL,name,Boston Rustlers,1911,1911,BSN,NL
ATL,name,Boston Braves,1912,1935,BSN,NL
ATL,name,Boston Bees,1936,1940,BSN,NL
ATL,name,Boston Braves,1941,1952,BSN,NL
ATL,name,Milwaukee Braves,1953,1965,ML1,NL
ATL,name,Atlanta Braves,1966,2025,ATL,NL
ATL,location,Boston,1876,1952,,
ATL,location,Milwaukee,1953,1965,,
ATL,location,Atlanta,1966,2025,,
BG2,name,Atlantic City Bacharach Giants,1923,1929,ACB,ANL
BG2,location,Atlantic City,1923,1929,,
BBS,name,Baltimore Black Sox,1922,1932,BBS,EWL
BBS,name,Baltimore Sox,1933,1933,SOX,NN2
BBS,name,Baltimore Black Sox,1934,1934,BBS,NN2
BBS,location,Baltimore,1922,1934,,
BLC,name,Baltimore Canaries,1872,1874,BL1,NA
BLC,location,Baltimore,1872,1874,,
BEG,name,Nashville Elite Giants,1930,1930,NEG,NNL
BEG,name,Cleveland Cubs,1931,1931,CCU,NNL
BEG,name,Nashville Elite Giants,1932,1934,NEG,NN2
BEG,name,Columbus Elite Giants,1935,1935,CEG,NN2
BEG,name,Washington Elite Giants,1936,1937,WEG,NN2
BEG,name,Baltimore Elite Giants,1938,1948,BEG,NN2
BEG,location,Nashville,1930,1930,,
BEG,location,Cleveland,1931,1931,,
BEG,location,Nashville,1932,1934,,
BEG,location,Columbus,1935,1935,,
BEG,location,Washington,1936,1937,,
BEG,location,Baltimore,1938,1948,,
MAR,name,Baltimore Marylands,1873,1873,BL4,NA
MAR,location,Baltimore,1873,1873,,
BLU,name,Baltimore Monumentals,1884,1884,BLU,UA
BLU,location,Baltimore,1884,1884,,
BLO,name,Baltimore Orioles,1882,1899,BLN,NL
BLO,location,Baltimore,1882,1899,,
BAL,name,Milwaukee Brewers,1901,1901,MLA,AL
BAL,name,St. Louis Browns,1902,1953,SLA,AL
