franchID,parkkey,park,alias,city,state,firstYear,lastYear
ACG,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1933,1933
AB,ALG01,Fair Grounds,,Algona,IA,1903,1903
ALT,ALT01,Columbia Park,Fourth Avenue Grounds,Altoona,PA,1884,1884
ARI,PHO01,Bank One Ballpark,,Phoenix,AZ,1998,2005
ARI,PHO01,Chase Field,,Phoenix,AZ,2006,2025
OAK,PHI10,Columbia Park,Columbia Avenue Grounds,Philadelphia,PA,1901,1908
OAK,PHI11,Shibe Park,,Philadelphia,PA,1909,1952
OAK,PHI11,Connie Mack Stadium,,Philadelphia,PA,1953,1954
OAK,,Municipal Stadium I,,,,1955,1967
OAK,OAK01,Oakland Coliseum,"Overstock.com Coliseum, RingCentral Coliseum",Oakland,CA,1968,2003
OAK,OAK01,Network Associates Coliseum,"Overstock.com Coliseum, RingCentral Coliseum",Oakland,CA,2004,2004
OAK,OAK01,McAfee Coliseum,"Overstock.com Coliseum, RingCentral Coliseum",Oakland,CA,2005,2008
OAK,OAK01,Oakland-Alameda County Coliseum,"Overstock.com Coliseum, RingCentral Coliseum",Oakland,CA,2009,2011
OAK,OAK01,O.co Coliseum,"Overstock.com Coliseum, RingCentral Coliseum",Oakland,CA,2012,2022
OAK,OAK01,Oakland-Alameda County Coliseum,"Overstock.com Coliseum, RingCentral Coliseum",Oakland,CA,2023,2024
OAK,,Sutter Health Park,,,,2025,2025
ATL,BOS01,South End Grounds I,"Walpole Street Grounds, Union Baseball Grounds, Boston National League Base Ball Park, Boston Base Ball Grounds",Boston,MA,1876,1887
ATL,BOS03,South End Grounds II,Grand Pavilion,Boston,MA,1888,1894
ATL,BOS04,Congress Street Grounds,,Boston,MA,1894,1894
ATL,BOS05,South End Grounds III,Boston National League Base Ball Park,Boston,MA,1894,1914
ATL,,Fenway Park I,,,,1915,1915
ATL,BOS08,Braves Field,National League Park,Boston,MA,1915,1952
ATL,MIL05,County Stadium,"Milwaukee County Stadium, Milwaukee County Municipal Stadium",Milwaukee,WI,1953,1965
ATL,ATL01,Atlanta-Fulton County Stadium,"Fulton County Stadium, Atlanta Stadium",Atlanta,GA,1966,1996
ATL,ATL02,Turner Field,Centennial Olympic Stadium,Atlanta,GA,1997,2016
ATL,ATL03,SunTrust Park,,Atlanta,GA,2017,2020
ATL,ATL03,Truist Park,,Atlanta,GA,2021,2025
BG2,ATC01,Bacharach Park,,Atlantic City,NJ,1923,1929
BBS,BAL14,Maryland Park,,Baltimore,MD,1922,1932
BBS,BAL13,Bugle Field,,Baltimore,MD,1933,1934
BLC,BAL02,Newington Park,,Baltimore,MD,1872,1874
BEG,NSH02,Wilson Park,Tom Wilson Park,Nashville,TN,1930,1930
BEG,CLE10,Hardware Field,Cleveland Hardware Field,Cleveland,OH,1931,1931
BEG,NSH02,Wilson Park,Tom Wilson Park,Nashville,TN,1932,1934
BEG,,Neil Park,,,,1935,1935
BEG,WAS09,Griffith Stadium,"National Park, American League Park",Washington,DC,1936,1937
BEG,BAL13,Bugle Field,,Baltimore,MD,1938,1938
BEG,,Oriole Park,,,,1939,1941
BEG,BAL13,Bugle Field,,Baltimore,MD,1942,1948
MAR,BAL02,Newington Park,,Baltimore,MD,1873,1873
BLU,BAL04,Belair Lot,"Union Park, Union Association Grounds",Baltimore,MD,1884,1884
BLO,BAL02,Newington Park,,Baltimore,MD,1882,1882
BLO,,Oriole Park,,,,1883,1890
BLO,BAL04,Union Park,"Belair Lot, Union Association Grounds",Baltimore,MD,1891,1899
BAL,MIL04,Lloyd Street Grounds,,Milwaukee,WI,1901,1901
BAL,STL07,Sportsman's Park III,Busch Stadium I,St. Louis,MO,1902,1908
BAL,,Sportsman's Park IV,,,,1909,1953
BAL,BAL11,Memorial Stadium,Baltimore Memorial Stadium,Baltimore,MD,1954,1991
BAL,BAL12,Oriole Park at Camden Yards,Camden Yards,Baltimore,MD,1992,2025
BLT,BAL10,Terrapin Park,Oriole Park V,Baltimore,MD,1914,1915
BBB,BIR01,Rickwood Field,,Birmingham,AL,1923,1948
BOS,,Huntington Avenue Grounds,,,,1901,1911
BOS,,Fenway Park I,,,,1912,1933
BOS,,Fenway Park II,,,,1934,2022
BOS,BOS07,Fenway Park,,Boston,MA,2023,2025
BNA,BOS01,South End Grounds I,"Walpole Street Grounds, Union Baseball Grounds, Boston National League Base Ball Park, Boston Base Ball Grounds",Boston,MA,1871,1875
BRD,BOS02,Dartmouth Grounds,"Union Park, Union Athletic Grounds, Union Grounds",Boston,MA,1884,1884
BRS,BOS04,Congress Street Grounds,,Boston,MA,1890,1891
BRA,NYC02,Capitoline Grounds,Capitoline Skating Lake and Base Ball Ground,Brooklyn,NY,1872,1872
BRA,NYC01,Union Grounds,,Brooklyn,NY,1873,1875
ECK,NYC01,Union Grounds,,Brooklyn,NY,1872,1872
BRG,,Ridgewood Park,,,,1890,1890
BR2,NYC29,Saratoga Park,,Brooklyn,NY,1906,1906
BR2,NYC12,Washington Park III,,Brooklyn,NY,1907,1907
BR2,NYC26,Meyerrose Park,,Queens,NY,1908,1911
BR2,NYC07,Ridgewood Grounds,"Ridgewood Park I, Grauer's Ridgewood Park, Grauer's Woods",Queens,NY,1912,1917
BR2,NYC23,Dexter Park,,Queens,NY,1918,1927
BTT,NYC19,Washington Park IV,,Brooklyn,NY,1914,1915
BWW,NYC11,Eastern Park,,Brooklyn,NY,1890,1890
BUF,BUF01,Riverside Park,Riverside Grounds,Buffalo,NY,1879,1883
BUF,BUF02,Olympic Park I,,Buffalo,NY,1884,1885
BFB,BUF03,Olympic Park II,Buffalo Baseball Park,Buffalo,NY,1890,1890
BFL,BUF04,Federal League Park,International Fair Association Grounds,Buffalo,NY,1914,1915
CAG,CHI09,Schorling Park,"South Side Park III, Schorling's Park II, White Sox Park",Chicago,IL,1911,1928
CAG,,South Side Park,,,,1929,1932
CAG,IND09,Perry Stadium,"Owen J. Bush Stadium, Bush Stadium, Victory Field I",Indianapolis,IN,1933,1933
CAG,CHI09,Cole's Park,"South Side Park III, Schorling's Park II, White Sox Park",Chicago,IL,1934,1935
CAG,CHI09,American Giants Park,"South Side Park III, Schorling's Park II, White Sox Park",Chicago,IL,1936,1940
CAG,CHI10,Comiskey Park I,White Sox Park,Chicago,IL,1941,1948
CCG,CHI14,Columbia Park,,Chicago,IL,1899,1901
CCG,CHI09,South Side Park III,"Schorling Park, Schorling's Park II, Cole's Park, American Giants Park, White Sox Park",Chicago,IL,1902,1902
CHC,,23rd Street Grounds,,,,1876,1877
CHC,CHI01,Lake Front Park I,"Union Base-Ball Grounds, White-Stocking Park",Chicago,IL,1878,1882
CHC,CHI03,Lake Front Park II,"Lake-Shore Park, Lake Front Park, Lake Park",Chicago,IL,1882,1884
CHC,,West Side Park I,,,,1885,1890
CHC,CHI05,South Side Park I,"Cricket Club Grounds, Union Base Ball Park, 39th Street Grounds",Chicago,IL,1891,1893
CHC,,West Side Park II,,,,1894,1915
CHC,CHI11,Wrigley Field,"Weeghman Park, Cubs Park",Chicago,IL,1916,2025
COG,CHI18,Red Sox Park,Osterman's Red Sox park,Chicago,IL,1910,1910
