franchID,name,active,firstYear,lastYear,seasons,W,L,pennants,titles,teamID,lgID,nameCount,former
ACG,Akron Grays / Cleveland Giants,N,1933,1933,1,3,8,0,0,ACG,NN2,1,
AB,Algona Brownies,N,1903,1903,1,11,4,0,0,AB,WES,1,
AC1,All Cubans,N,1905,1905,1,4,3,0,0,AC1,EAS,1,
AC2,All Cubans,N,1911,1911,1,8,20,0,0,AC2,WES,1,
ALT,Altoona Mountain City,N,1884,1884,1,6,19,0,0,ALT,UA,1,
ARI,Arizona Diamondbacks,Y,1998,2025,28,2167,2267,2,1,ARI,NL,1,
OAK,Athletics,Y,1901,2025,125,9405,9945,15,9,ATH,AL,4,Philadelphia|Kansas City
ATL,Atlanta Braves,Y,1876,2025,150,11190,11035,18,4,ATL,NL,8,Boston|Milwaukee
BG2,Atlantic City Bacharach Giants,N,1923,1929,7,209,205,2,0,ACB,ANL,1,
BBS,Baltimore Black Sox,N,1922,1934,13,308,307,1,0,BBS,NN2,2,
BLC,Baltimore Canaries,NA,1872,1874,3,78,79,0,0,BL1,NA,1,
BEG,Baltimore Elite Giants,N,1930,1948,19,479,468,1,0,BEG,NN2,5,Nashville|Cleveland|Nashville|Columbus|Washington
MAR,Baltimore Marylands,NA,1873,1873,1,0,6,0,0,BL4,NA,1,
BLU,Baltimore Monumentals,N,1884,1884,1,58,47,0,0,BLU,UA,1,
BLO,Baltimore Orioles,N,1882,1899,18,1133,1049,3,0,BLN,NL,1,
BAL,Baltimore Orioles,Y,1901,2025,125,9195,10171,7,3,BAL,AL,3,Milwaukee|St. Louis
BLT,Baltimore Terrapins,N,1914,1915,2,131,177,0,0,BLF,FL,1,
BBB,Birmingham Black Barons,N,1923,1948,19,609,633,3,0,BBB,NAL,1,
BOS,Boston Red Sox,Y,1901,2025,125,10044,9336,14,9,BOS,AL,2,
BNA,Boston Red Stockings,NA,1871,1875,5,225,60,4,0,BS1,NA,1,
BRD,Boston Reds,N,1884,1884,1,58,51,0,0,BSU,UA,1,
BRS,Boston Reds,N,1890,1891,2,174,90,2,0,BS2,AA,1,
BRA,Brooklyn Atlantics,NA,1872,1875,4,50,140,0,0,BR2,NA,1,
ECK,Brooklyn Eckfords,NA,1872,1872,1,3,26,0,0,BR1,NA,1,
BRG,Brooklyn Gladiators,N,1890,1890,1,26,72,0,0,BR4,AA,1,
BR2,Brooklyn Royal Giants,N,1905,1927,22,250,291,2,0,BRG,ECL,1,
BTT,Brooklyn Tip-Tops,N,1914,1915,2,147,159,0,0,BRF,FL,1,
BWW,Brooklyn Ward's Wonders,N,1890,1890,1,76,56,0,0,BRP,PL,1,
BUF,Buffalo Bisons,N,1879,1885,7,314,333,0,0,BFN,NL,1,
