playerID,yearid,votedBy,category
aaronha01,1982,BBWAA,Player
alexape01,1938,BBWAA,Player
allendi01,2025,Classic Baseball Era,Player
alomaro01,2011,BBWAA,Player
alstowa01,1983,Veterans,Manager
andersp01,2000,Veterans,Manager
ansonca01,1939,Old Timers,Player
aparilu01,1984,BBWAA,Player
applilu01,1964,Run Off,Player
ashburi01,1995,Veterans,Player
averiea01,1975,Veterans,Player
bagweje01,2017,BBWAA,Player
baineha01,2019,Veterans - Today's Game Era,Player
bakerfr01,1955,Veterans,Player
bancrda01,1971,Veterans,Player
bankser01,1977,BBWAA,Player
barlial99,1989,Veterans,Umpire
barroed99,1953,Veterans,Executive
becklja01,1971,Veterans,Player
bellco99,1974,Negro League,Player
beltrad01,2024,BBWAA,Player
benchjo01,1989,BBWAA,Player
bendech01,1953,Veterans,Player
berrayo01,1972,BBWAA,Player
biggicr01,2015,BBWAA,Player
blylebe01,2011,BBWAA,Player
boggswa01,2005,BBWAA,Player
bottoji01,1974,Veterans,Player
boudrlo01,1970,BBWAA,Player
bresnro01,1945,Old Timers,Player
brettge01,1999,BBWAA,Player
brocklo01,1985,BBWAA,Player
broutda01,1945,Old Timers,Player
brownmo01,1949,Old Timers,Player
brownra99,2006,Negro League,Player
brownwi02,2006,Negro League,Player
bulkemo99,1937,Centennial,Pioneer/Executive
bunniji01,1996,Veterans,Player
burkeje01,1946,Old Timers,Player
camparo01,1969,BBWAA,Player
carewro01,1991,BBWAA,Player
careyma01,1961,Veterans,Player
carltst01,1994,BBWAA,Player
cartega01,2003,BBWAA,Player
cartwal99,1938,Centennial,Pioneer/Executive
cepedor01,1999,Veterans,Player
chadwhe99,1938,Centennial,Pioneer/Executive
chancfr01,1946,Old Timers,Player
chandha99,1982,Veterans,Executive
charlos99,1976,Negro League,Player
chesbja01,1946,Old Timers,Player
chylane99,1999,Veterans,Umpire
clarkfr01,1945,Old Timers,Player
clarkjo01,1963,Veterans,Player
clemero01,1973,Special Election,Player
cobbty01,1936,BBWAA,Player
cochrmi01,1947,BBWAA,Player
collied01,1939,BBWAA,Player
colliji01,1945,Old Timers,Player
combsea01,1970,Veterans,Player
comisch01,1939,Old Timers,Pioneer/Executive
conlajo01,1974,Veterans,Umpire
connoro01,1976,Veterans,Player
connoto01,1953,Veterans,Umpire
connoto99,1953,Veterans,Umpire
coopean99,2006,Negro League,Player
covelst01,1969,Veterans,Player
coxbo01,2014,Veterans - Expansion Era,Manager
crawfsa01,1957,Veterans,Player
cronijo01,1956,BBWAA,Player
cummica01,1939,Old Timers,Pioneer/Executive
cuyleki01,1968,Veterans,Player
dandrra99,1987,Veterans,Player
davisge01,1998,Veterans,Player
dawsoan01,2010,BBWAA,Player
dayle99,1995,Veterans,Player
deandi01,1953,BBWAA,Player
