yearID,lgID,divID,teamID,franchID,name,Rank,G,W,L,R,RA,WSWin,LgWin
1871,NA,,BS1,BNA,Boston Red Stockings,3,31,20,10,401,303,,N
1871,NA,,CH1,CNA,Chicago White Stockings,2,28,19,9,302,241,,N
1871,NA,,CL1,CFC,Cleveland Forest Citys,8,29,10,19,249,341,,N
1871,NA,,FW1,KEK,Fort Wayne Kekiongas,7,19,7,12,137,243,,N
1871,NA,,NY2,NNA,New York Mutuals,5,33,16,17,302,313,,N
1871,NA,,PH1,PNA,Philadelphia Athletics,1,28,21,7,376,266,,Y
1871,NA,,RC1,ROK,Rockford Forest Citys,9,25,4,21,231,287,,N
1871,NA,,TRO,TRO,Troy Haymakers,6,29,13,15,351,362,,N
1871,NA,,WS3,OLY,Washington Olympics,4,32,15,15,310,303,,N
1872,NA,,BL1,BLC,Baltimore Canaries,2,58,35,19,617,434,,N
1872,NA,,BR1,ECK,Brooklyn Eckfords,9,29,3,26,152,413,,N
1872,NA,,BR2,BRA,Brooklyn Atlantics,6,37,9,28,237,473,,N
1872,NA,,BS1,BNA,Boston Red Stockings,1,48,39,8,521,236,,Y
1872,NA,,CL1,CFC,Cleveland Forest Citys,7,22,6,16,174,254,,N
1872,NA,,MID,MAN,Middletown Mansfields,8,24,5,19,220,348,,N
1872,NA,,NY2,NNA,New York Mutuals,3,56,34,20,523,362,,N
1872,NA,,PH1,PNA,Philadelphia Athletics,4,47,30,14,539,349,,N
1872,NA,,TRO,TRO,Troy Haymakers,5,25,15,10,273,191,,N
1872,NA,,WS3,OLY,Washington Olympics,10,9,2,7,54,140,,N
1872,NA,,WS4,NAT,Washington Nationals,11,11,0,11,80,190,,N
1873,NA,,BL1,BLC,Baltimore Canaries,3,57,34,22,644,451,,N
1873,NA,,BL4,MAR,Baltimore Marylands,9,6,0,6,26,152,,N
1873,NA,,BR2,BRA,Brooklyn Atlantics,6,55,17,37,366,549,,N
1873,NA,,BS1,BNA,Boston Red Stockings,1,60,43,16,739,460,,Y
1873,NA,,ELI,RES,Elizabeth Resolutes,8,23,2,21,98,299,,N
1873,NA,,NY2,NNA,New York Mutuals,4,53,29,24,424,385,,N
1873,NA,,PH1,PNA,Philadelphia Athletics,5,52,28,23,474,403,,N
1873,NA,,PH2,PWS,Philadelphia Whites,2,53,36,17,526,396,,N
1873,NA,,WS5,WBL,Washington Blue Legs,7,39,8,31,283,485,,N
1874,NA,,BL1,BLC,Baltimore Canaries,8,47,9,38,227,505,,N
1874,NA,,BR2,BRA,Brooklyn Atlantics,6,56,22,33,301,450,,N
1874,NA,,BS1,BNA,Boston Red Stockings,1,71,52,18,735,415,,Y
1874,NA,,CH2,CNA,Chicago White Stockings,5,59,28,31,418,480,,N
1874,NA,,HR1,HNA,Hartford Dark Blues,7,53,16,37,371,471,,N
1874,NA,,NY2,NNA,New York Mutuals,2,65,42,23,501,377,,N
1874,NA,,PH1,PNA,Philadelphia Athletics,3,55,33,22,441,344,,N
1874,NA,,PH2,PWS,Philadelphia Whites,4,58,29,29,476,428,,N
1875,NA,,BR2,BRA,Brooklyn Atlantics,11,44,2,42,132,438,,N
1875,NA,,BS1,BNA,Boston Red Stockings,1,82,71,8,831,343,,Y
1875,NA,,CH2,CNA,Chicago White Stockings,6,69,30,37,379,416,,N
1875,NA,,HR1,HNA,Hartford Dark Blues,3,86,54,28,557,343,,N
1875,NA,,KEO,WES,Keokuk Westerns,13,13,1,12,45,88,,N
